Ticker SYMBOL,資料日期,單月營收年增率(%),毛利率(%),營業利益率(%),單季EPS,ROE(%),稅後淨利率(%),負債比率(%),本業獲利比(%),預估殖利率(%),Revenue_Growth_Score,Profitability_Score,BalanceSheet_Score,Dividend_Score,Quality_Total_Score,資料來源
6955.TW,2025-12-31,,76.95,32.12,,4.65,36.26,10.9,87.09,93.0,0.0,0.75,1.0,1.0,0.6625,fundamentals_clean
6957.TW,2025-12-31,,47.5,27.02,,9.67,22.8,47.46,94.2,844.0,0.0,0.7944861111111111,0.8254,1.0,0.6344201388888889,fundamentals_clean
6958.TW,2025-12-31,,35.7,9.52,,-2.64,-13.11,86.74,-43.52,111.0,0.0,0.2657555555555556,0.0,1.0,0.24301444444444442,fundamentals_clean
6962.TW,2025-12-31,,17.35,-0.54,,0.66,2.78,21.88,-16.21,613.0,0.0,0.10336111111111113,0.5,1.0,0.3111763888888889,fundamentals_clean
6965.TW,2025-12-31,,11.71,1.52,,0.73,1.82,29.72,50.61,697.0,0.0,0.07522777777777778,0.7550833333333333,1.0,0.36510055555555554,fundamentals_clean
6969.TW,2025-12-31,,28.44,10.75,,1.73,4.31,70.64,251.0,,0.0,0.29159722222222223,0.5936,0.0,0.2504590277777778,fundamentals_clean
6988.TW,2025-12-31,,17.08,-20.33,,-6.06,-23.1,38.79,99.88,293.0,0.0,0.06711111111111111,0.9121,1.0,0.40151388888888884,fundamentals_clean
6994.TW,2025-12-31,,26.83,23.04,,12.75,10.7,60.7,152.11,146.0,0.0,0.5823027777777777,0.693,1.0,0.5270559722222222,fundamentals_clean
7610.TW,2025-12-31,,49.52,40.04,,10.31,32.18,46.73,97.93,5.0,0.0,0.8137083333333334,0.8327,0.625,0.5867229166666666,fundamentals_clean
7631.TW,2025-12-31,,25.83,17.62,,8.08,14.49,43.3,97.25,269.0,0.0,0.5115472222222223,0.867,1.0,0.5457915277777778,fundamentals_clean
7705.TW,2025-12-31,,35.03,0.56,,2.45,2.27,59.8,23.13,1097.0,0.0,0.20080833333333334,0.22808333333333333,1.0,0.27730374999999996,fundamentals_clean
7711.TW,2025-12-31,,10.07,4.9,,4.97,3.28,58.39,120.48,,0.0,0.11816666666666667,0.7161,0.0,0.22038333333333332,fundamentals_clean
