stock_id,suffix,Ticker SYMBOL,產業類別,公司名稱
2528,.TW,2528.TW,14,皇普建設股份有限公司
2530,.TW,2530.TW,14,大華建設股份有限公司
2534,.TW,2534.TW,14,宏盛建設股份有限公司
2535,.TW,2535.TW,14,達欣工程股份有限公司
2536,.TW,2536.TW,14,宏普建設股份有限公司
2537,.TW,2537.TW,14,聯上開發股份有限公司
2538,.TW,2538.TW,14,基泰建設股份有限公司
2539,.TW,2539.TW,14,櫻花建設股份有限公司
2540,.TW,2540.TW,14,愛山林建設開發股份有限公司
2542,.TW,2542.TW,14,興富發建設股份有限公司
2543,.TW,2543.TW,14,皇昌營造股份有限公司
2545,.TW,2545.TW,14,皇翔建設股份有限公司
2546,.TW,2546.TW,14,根基營造股份有限公司
2547,.TW,2547.TW,14,日勝生活科技股份有限公司
2548,.TW,2548.TW,14,華固建設股份有限公司
2597,.TW,2597.TW,14,潤弘精密工程事業股份有限公司
2601,.TW,2601.TW,18,益航股份有限公司
2603,.TW,2603.TW,15,長榮海運股份有限公司
2605,.TW,2605.TW,15,新興航運股份有限公司
2606,.TW,2606.TW,15,裕民航運股份有限公司
2607,.TW,2607.TW,15,長榮國際儲運股份有限公司
2608,.TW,2608.TW,15,嘉里大榮物流股份有限公司
2609,.TW,2609.TW,15,陽明海運股份有限公司
2610,.TW,2610.TW,15,中華航空股份有限公司
2611,.TW,2611.TW,15,志信國際股份有限公司
2612,.TW,2612.TW,15,中國航運股份有限公司
2613,.TW,2613.TW,15,中國貨櫃運輸股份有限公司
2614,.TW,2614.TW,20,東森國際股份有限公司
2615,.TW,2615.TW,15,萬海航運股份有限公司
2616,.TW,2616.TW,23,山隆通運股份有限公司
2617,.TW,2617.TW,15,台灣航業股份有限公司
2618,.TW,2618.TW,15,長榮航空股份有限公司
2630,.TW,2630.TW,15,亞洲航空股份有限公司
2633,.TW,2633.TW,15,台灣高速鐵路股份有限公司
2634,.TW,2634.TW,15,漢翔航空工業股份有限公司
2636,.TW,2636.TW,15,台驊國際控股股份有限公司
2637,.TW,2637.TW,15,慧洋海運股份有限公司
2642,.TW,2642.TW,15,台灣宅配通股份有限公司
2645,.TW,2645.TW,15,長榮航太科技股份有限公司
2646,.TW,2646.TW,15,星宇航空股份有限公司
2701,.TW,2701.TW,16,萬華企業股份有限公司
2702,.TW,2702.TW,16,華園飯店股份有限公司
2704,.TW,2704.TW,16,國賓大飯店股份有限公司
2705,.TW,2705.TW,16,六福開發股份有限公司
2706,.TW,2706.TW,16,第一華僑大飯店股份有限公司
2707,.TW,2707.TW,16,晶華國際酒店股份有限公司
2712,.TW,2712.TW,16,遠雄悅來大飯店股份有限公司
2722,.TW,2722.TW,16,夏都國際開發股份有限公司
2723,.TW,2723.TW,16,開曼美食達人股份有限公司
2727,.TW,2727.TW,16,王品餐飲股份有限公司
2731,.TW,2731.TW,16,雄獅旅行社股份有限公司
2739,.TW,2739.TW,16,寒舍餐旅管理顧問股份有限公司
2748,.TW,2748.TW,16,雲品國際酒店股份有限公司
2753,.TW,2753.TW,16,八方雲集國際股份有限公司
2762,.TW,2762.TW,37,世界健身股份有限公司
2801,.TW,2801.TW,17,彰化商業銀行股份有限公司
2812,.TW,2812.TW,17,台中商業銀行股份有限公司
2816,.TW,2816.TW,17,旺旺友聯產物保險股份有限公司
2820,.TW,2820.TW,17,中華票券金融股份有限公司
2832,.TW,2832.TW,17,台灣產物保險股份有限公司
2834,.TW,2834.TW,17,臺灣中小企業銀行股份有限公司
2836,.TW,2836.TW,17,高雄銀行股份有限公司
2838,.TW,2838.TW,17,聯邦商業銀行股份有限公司
2845,.TW,2845.TW,17,遠東國際商業銀行股份有限公司
2849,.TW,2849.TW,17,安泰商業銀行股份有限公司
2850,.TW,2850.TW,17,新光產物保險股份有限公司
2851,.TW,2851.TW,17,中央再保險股份有限公司
2852,.TW,2852.TW,17,第一產物保險股份有限公司
2855,.TW,2855.TW,17,統一綜合證券股份有限公司
2867,.TW,2867.TW,17,三商美邦人壽保險股份有限公司
2880,.TW,2880.TW,17,華南金融控股股份有限公司
2881,.TW,2881.TW,17,富邦金融控股股份有限公司
2882,.TW,2882.TW,17,國泰金融控股股份有限公司
2883,.TW,2883.TW,17,凱基金融控股股份有限公司
2884,.TW,2884.TW,17,玉山金融控股股份有限公司
2885,.TW,2885.TW,17,元大金融控股股份有限公司
2886,.TW,2886.TW,17,兆豐金融控股股份有限公司
2887,.TW,2887.TW,17,台新新光金融控股股份有限公司
2889,.TW,2889.TW,17,國票金融控股股份有限公司
2890,.TW,2890.TW,17,永豐金融控股股份有限公司
