Ticker SYMBOL,公司名稱,產業類別,產業類別名稱,資料年月日,單月營收年增率(%)
6936.TW,永鴻國際生技股份有限公司,22,生技醫療業,2026-03-01,15.7
6937.TW,天虹科技股份有限公司,24,半導體業,2026-03-01,26.65
6944.TW,兆聯實業股份有限公司,35,綠能環保,2026-03-01,23.45
6949.TW,沛爾生技醫藥股份有限公司,22,生技醫療業,2026-03-01,74.54
6951.TW,青新環境工程股份有限公司,35,綠能環保,2026-03-01,24.75
6952.TW,大武山牧場科技股份有限公司,20,其他業,2026-03-01,63.85
6955.TW,邦睿生技股份有限公司,22,生技醫療業,2026-03-01,20.22
6957.TW,裕慶金屬股份有限公司,20,其他業,2026-03-01,77.63
6958.TW,日盛台駿國際租賃股份有限公司,20,其他業,2026-03-01,-10.74
6962.TW,ITH Corporation,24,半導體業,2026-03-01,-13.19
6965.TW,中傑投資控股股份有限公司,37,運動休閒,2026-03-01,-21.34
6969.TW,成信實業股份有限公司,35,綠能環保,2026-03-01,-13.29
6988.TW,威力暘電子股份有限公司,12,汽車工業,2026-03-01,-19.17
6994.TW,富威電力股份有限公司,35,綠能環保,2026-03-01,186.91
7610.TW,聯友金屬科技股份有限公司,35,綠能環保,2026-03-01,958.98
7631.TW,聚賢研發股份有限公司,31,其他電子業,2026-03-01,55.42
7705.TW,三商餐飲股份有限公司,16,觀光餐旅,2026-03-01,8.6
7711.TW,永擎電子股份有限公司,25,電腦及週邊設備業,2026-03-01,206.17
7721.TW,微程式資訊股份有限公司,36,數位雲端,2026-03-01,29.61
7722.TW,連加網路商業股份有限公司,36,數位雲端,2026-03-01,15.25
7730.TW,暉盛科技股份有限公司,24,半導體業,2026-03-01,-25.22
7732.TW,金興精密工業股份有限公司,12,汽車工業,2026-03-01,-8.75
7736.TW,虎山實業股份有限公司,12,汽車工業,2026-03-01,-19.95
7740.TW,熙特爾新能源股份有限公司,35,綠能環保,2026-03-01,3063.23
7749.TW,意騰科技股份有限公司,24,半導體業,2026-03-01,109.2
7750.TW,新代科技股份有限公司,5,電機機械,2026-03-01,48.61
7765.TW,中華資安國際股份有限公司,36,數位雲端,2026-03-01,22.58
7769.TW,鴻勁精密股份有限公司,24,半導體業,2026-03-01,111.27
7780.TW,大研生醫國際股份有限公司,2,食品工業,2026-03-01,40.91
7786.TW,東方風能科技股份有限公司,35,綠能環保,2026-03-01,80.48
7788.TW,松川精密股份有限公司,28,電子零組件業,2026-03-01,13.29
7791.TW,皇家可口股份有限公司,2,食品工業,2026-03-01,-9.47
7795.TW,長廣精機股份有限公司,28,電子零組件業,2026-03-01,-12.82
7799.TW,禾榮科技股份有限公司,22,生技醫療業,2026-03-01,349.34
7822.TW,倍利科技股份有限公司,24,半導體業,2026-03-01,83.02
7823.TW,奧義賽博科技股份有限公司,36,數位雲端,2026-03-01,33.21
8011.TW,台通光電股份有限公司,27,通信網路業,2026-03-01,-27.67
8016.TW,矽創電子股份有限公司,24,半導體業,2026-03-01,29.27
8021.TW,尖點科技股份有限公司,31,其他電子業,2026-03-01,51.36
8028.TW,昇陽國際半導體股份有限公司,24,半導體業,2026-03-01,25.57
8033.TW,雷虎科技股份有限公司,20,其他業,2026-03-01,5.28
8039.TW,台虹科技股份有限公司,28,電子零組件業,2026-03-01,10.46
8045.TW,達運光電股份有限公司,27,通信網路業,2026-03-01,28.87
8046.TW,南亞電路板股份有限公司,28,電子零組件業,2026-03-01,39.03
8070.TW,長華電材股份有限公司,29,電子通路業,2026-03-01,32.35
