Ticker SYMBOL,公司名稱,產業類別,資料年月日,單月營收年增率(%)
2354.TW,鴻準精密工業股份有限公司,31,2026-02-01,-23.53
2355.TW,敬鵬工業股份有限公司,28,2026-02-01,-4.9
2356.TW,英業達股份有限公司,25,2026-02-01,-1.43
2357.TW,華碩電腦股份有限公司,25,2026-02-01,19.12
2359.TW,所羅門股份有限公司,31,2026-02-01,-38.49
2360.TW,致茂電子股份有限公司,31,2026-02-01,86.04
2362.TW,藍天電腦股份有限公司,25,2026-02-01,19.04
2363.TW,矽統科技股份有限公司,24,2026-02-01,210.94
2364.TW,倫飛電腦實業股份有限公司,25,2026-02-01,-1.34
2365.TW,昆盈企業股份有限公司,25,2026-02-01,0.51
2367.TW,燿華電子股份有限公司,28,2026-02-01,-19.13
2368.TW,金像電子(股)公司,28,2026-02-01,53.91
2369.TW,菱生精密工業股份有限公司,24,2026-02-01,26.07
2371.TW,大同股份有限公司,5,2026-02-01,-1.94
2373.TW,震旦行股份有限公司,31,2026-02-01,-15.04
2374.TW,佳能企業股份有限公司,26,2026-02-01,32.22
2375.TW,凱美電機股份有限公司,28,2026-02-01,5.49
2376.TW,技嘉科技股份有限公司,25,2026-02-01,47.4
2377.TW,微星科技股份有限公司,25,2026-02-01,-2.9
2379.TW,瑞昱半導體股份有限公司,24,2026-02-01,-7.41
2380.TW,虹光精密工業股份有限公司,25,2026-02-01,0.7
2382.TW,廣達電腦股份有限公司,25,2026-02-01,43.18
2383.TW,台光電子材料股份有限公司,28,2026-02-01,45.01
2385.TW,群光電子股份有限公司,28,2026-02-01,-12.58
2387.TW,精元電腦股份有限公司,25,2026-02-01,-32.69
2388.TW,威盛電子股份有限公司,24,2026-02-01,-3.76
2390.TW,云辰電子開發股份有限公司,31,2026-02-01,-38.89
2392.TW,正崴精密工業股份有限公司,28,2026-02-01,-20.97
2393.TW,億光電子工業股份有限公司,26,2026-02-01,-5.11
2395.TW,研華股份有限公司,25,2026-02-01,6.27
2397.TW,友通資訊股份有限公司,25,2026-02-01,3.28
2399.TW,映泰股份有限公司,25,2026-02-01,2.56
2401.TW,凌陽科技股份有限公司,24,2026-02-01,-7.21
2402.TW,毅嘉科技股份有限公司,28,2026-02-01,10.62
2404.TW,漢唐集成股份有限公司,31,2026-02-01,68.9
2405.TW,輔信科技股份有限公司,25,2026-02-01,-20.7
2406.TW,國碩科技工業股份有限公司,26,2026-02-01,159.77
2408.TW,南亞科技股份有限公司,24,2026-02-01,586.71
2409.TW,友達光電股份有限公司,26,2026-02-01,-16.66
2412.TW,中華電信股份有限公司,27,2026-02-01,2.73
2413.TW,環隆科技股份有限公司,28,2026-02-01,-23.82
2414.TW,精技電腦股份有限公司,29,2026-02-01,-12.12
2415.TW,錩新科技股份有限公司,28,2026-02-01,29.48
2417.TW,圓剛科技股份有限公司,25,2026-02-01,9.51
2419.TW,仲琦科技股份有限公司,27,2026-02-01,-6.94
2420.TW,新巨企業股份有限公司,28,2026-02-01,-11.12
2421.TW,建準電機工業股份有限公司,28,2026-02-01,2.33
2423.TW,固緯電子實業股份有限公司,31,2026-02-01,6.06
2424.TW,隴華電子股份有限公司,27,2026-02-01,90.09
2425.TW,承啟科技股份有限公司,25,2026-02-01,113.51
2426.TW,鼎元光電科技股份有限公司,26,2026-02-01,-14.78
2427.TW,三商電腦股份有限公司,30,2026-02-01,-31.93
2428.TW,興勤電子工業股份有限公司,28,2026-02-01,-13.4
2429.TW,銘旺科技股份有限公司,26,2026-02-01,-54.46
2430.TW,燦坤實業股份有限公司,29,2026-02-01,2.44
2431.TW,聯昌電子企業股份有限公司,28,2026-02-01,-65.62
2432.TW,倚天酷碁股份有限公司,25,2026-02-01,26.05
2433.TW,互盛股份有限公司,31,2026-02-01,-1.99
2434.TW,統懋半導體股份有限公司,24,2026-02-01,-28.82
2436.TW,偉詮電子股份有限公司,24,2026-02-01,9.26
2438.TW,翔耀實業股份有限公司,26,2026-02-01,19.74
2439.TW,美律實業股份有限公司,27,2026-02-01,15.51
2440.TW,太空梭高傳真資訊科技(股)公司,28,2026-02-01,-42.62
2441.TW,超豐電子股份有限公司,24,2026-02-01,19.0
2442.TW,新美齊股份有限公司,14,2026-02-01,9886.17
2444.TW,兆勁科技股份有限公司,27,2026-02-01,-45.06
2449.TW,京元電子股份有限公司,24,2026-02-01,41.04
2450.TW,神腦國際企業股份有限公司,27,2026-02-01,-13.93
2451.TW,創見資訊股份有限公司,24,2026-02-01,246.28
2453.TW,凌群電腦股份有限公司,30,2026-02-01,4.68
2454.TW,聯發科技股份有限公司,24,2026-02-01,-15.63
2455.TW,全新光電科技股份有限公司,27,2026-02-01,15.89
2457.TW,飛宏科技股份有限公司,28,2026-02-01,-4.93
2458.TW,義隆電子股份有限公司,24,2026-02-01,-11.43
2459.TW,敦吉科技股份有限公司,31,2026-02-01,-7.35
2460.TW,建通精密工業股份有限公司,28,2026-02-01,14.42
2461.TW,光群雷射科技股份有限公司,31,2026-02-01,-6.12
2462.TW,台灣良得電子股份有限公司,28,2026-02-01,-4.51
2464.TW,盟立自動化股份有限公司,31,2026-02-01,7.79
2465.TW,麗臺科技股份有限公司,25,2026-02-01,127.43
2466.TW,冠西電子企業股份有限公司,26,2026-02-01,-31.02
2467.TW,志聖工業股份有限公司,28,2026-02-01,3.25
2468.TW,華經資訊企業股份有限公司,30,2026-02-01,-31.25
2471.TW,資通電腦股份有限公司,30,2026-02-01,29.0
2472.TW,立隆電子工業股份有限公司,28,2026-02-01,0.48
2474.TW,可成科技股份有限公司,31,2026-02-01,-21.19
2476.TW,鉅祥企業股份有限公司,28,2026-02-01,13.53
2477.TW,美隆工業股份有限公司,31,2026-02-01,23.5
2478.TW,大毅科技股份有限公司,28,2026-02-01,-20.21
2480.TW,敦陽科技股份有限公司,30,2026-02-01,11.04
2481.TW,強茂股份有限公司,24,2026-02-01,-0.98
2482.TW,連宇股份有限公司,31,2026-02-01,-1.01
2483.TW,百容電子股份有限公司,28,2026-02-01,-8.49
2484.TW,希華晶體科技股份有限公司,28,2026-02-01,-18.05
2485.TW,兆赫電子股份有限公司,27,2026-02-01,84.86
2486.TW,一詮精密工業股份有限公司,26,2026-02-01,5.74
2488.TW,漢平電子工業股份有限公司,31,2026-02-01,0.05
2489.TW,瑞軒科技股份有限公司,26,2026-02-01,6.97
2491.TW,吉祥全球實業股份有限公司,26,2026-02-01,-42.24
2492.TW,華新科技股份有限公司,28,2026-02-01,-3.73
2493.TW,揚博科技股份有限公司,28,2026-02-01,1.25
2495.TW,普安科技股份有限公司,25,2026-02-01,6.74
2496.TW,卓越成功股份有限公司,20,2026-02-01,8.05
2497.TW,怡利電子工業股份有限公司,12,2026-02-01,15.18
2498.TW,宏達國際電子股份有限公司,27,2026-02-01,-13.92
2501.TW,國泰建設股份有限公司,14,2026-02-01,193.52
2504.TW,國產建材實業股份有限公司,14,2026-02-01,-11.01
2505.TW,國揚實業股份有限公司,14,2026-02-01,713.37
2506.TW,太平洋建設股份有限公司,14,2026-02-01,-61.49
2509.TW,全坤建設開發股份有限公司,14,2026-02-01,-0.97
2511.TW,太子建設開發股份有限公司,14,2026-02-01,4.83
2514.TW,龍邦國際興業股份有限公司,20,2026-02-01,25.54
2515.TW,中華工程股份有限公司,14,2026-02-01,-12.73
2516.TW,新亞建設開發股份有限公司,14,2026-02-01,-38.28
2520.TW,冠德建設股份有限公司,14,2026-02-01,8.87
2524.TW,京城建設股份有限公司,14,2026-02-01,-80.84
2527.TW,宏璟建設股份有限公司,14,2026-02-01,-4.37
2528.TW,皇普建設股份有限公司,14,2026-02-01,-99.95
2530.TW,大華建設股份有限公司,14,2026-02-01,-97.95
2534.TW,宏盛建設股份有限公司,14,2026-02-01,-87.97
2535.TW,達欣工程股份有限公司,14,2026-02-01,18.31
2536.TW,宏普建設股份有限公司,14,2026-02-01,-61.75
2537.TW,聯上開發股份有限公司,14,2026-02-01,272.74
2538.TW,基泰建設股份有限公司,14,2026-02-01,2.61
2539.TW,櫻花建設股份有限公司,14,2026-02-01,-33.58
2540.TW,愛山林建設開發股份有限公司,14,2026-02-01,-33.02
2542.TW,興富發建設股份有限公司,14,2026-02-01,774.7
2543.TW,皇昌營造股份有限公司,14,2026-02-01,5.89
2545.TW,皇翔建設股份有限公司,14,2026-02-01,7.93
2546.TW,根基營造股份有限公司,14,2026-02-01,-21.47
