Ticker,Direction,Regime,Structure,AI_Proba,Hist_WinRate,EV,Kelly_Pos,Score,Risk,Health
2890.TW,做多(Long),區間盤整,多方進場,0.5372,0.56,0.12,0.0157,0.5463,樣本數不足 (0/10)，熱身中,KEEP
3027.TW,做多(Long),趨勢空頭,多方進場,0.5446,0.53,0.06,0.0156,0.5388,樣本數不足 (0/10)，熱身中,KEEP
9910.TW,做空(Short),趨勢空頭,空方進場,0.5518,0.44,-0.12,0.0155,0.5071,樣本數不足 (0/10)，熱身中,KEEP
4536.TW,做空(Short),趨勢空頭,空方進場,0.5516,0.41,-0.18,0.0155,0.495,樣本數不足 (0/10)，熱身中,KEEP
7786.TW,做空(Short),趨勢空頭,空方進場,0.5514,0.44,-0.12,0.0154,0.5068,樣本數不足 (0/10)，熱身中,KEEP
6409.TW,做空(Short),趨勢空頭,空方進場,0.5512,0.38,-0.24,0.0154,0.4827,樣本數不足 (0/10)，熱身中,KEEP
6153.TW,做空(Short),趨勢空頭,空方進場,0.551,0.38,-0.24,0.0153,0.4826,樣本數不足 (0/10)，熱身中,KEEP
2634.TW,做空(Short),趨勢空頭,空方進場,0.5509,0.5,0.0,0.0153,0.5306,樣本數不足 (0/10)，熱身中,KEEP
2402.TW,做多(Long),區間盤整,多方進場,0.5434,0.53,0.06,0.0153,0.538,樣本數不足 (0/10)，熱身中,KEEP
6799.TW,做空(Short),區間盤整,空方進場,0.5504,0.41,-0.18,0.0151,0.4942,樣本數不足 (0/10)，熱身中,KEEP
3035.TW,做空(Short),區間盤整,空方進場,0.5502,0.47,-0.06,0.0151,0.5181,樣本數不足 (0/10)，熱身中,KEEP
6669.TW,做空(Short),趨勢空頭,空方進場,0.55,0.41,-0.18,0.015,0.494,樣本數不足 (0/10)，熱身中,KEEP
6988.TW,做空(Short),趨勢空頭,空方進場,0.5498,0.44,-0.12,0.0149,0.5059,樣本數不足 (0/10)，熱身中,KEEP
1526.TW,做空(Short),區間盤整,空方進場,0.5497,0.44,-0.12,0.0149,0.5058,樣本數不足 (0/10)，熱身中,KEEP
7750.TW,做空(Short),區間盤整,空方進場,0.5494,0.44,-0.12,0.0148,0.5056,樣本數不足 (0/10)，熱身中,KEEP
3588.TW,做空(Short),區間盤整,空方進場,0.5494,0.41,-0.18,0.0148,0.4936,樣本數不足 (0/10)，熱身中,KEEP
1618.TW,做空(Short),趨勢空頭,空方進場,0.5493,0.41,-0.18,0.0148,0.4936,樣本數不足 (0/10)，熱身中,KEEP
3006.TW,做空(Short),趨勢空頭,空方進場,0.5492,0.41,-0.18,0.0148,0.4935,樣本數不足 (0/10)，熱身中,KEEP
6873.TW,做多(Long),趨勢空頭,多方進場,0.5418,0.53,0.06,0.0148,0.5371,樣本數不足 (0/10)，熱身中,KEEP
3015.TW,做空(Short),趨勢空頭,空方進場,0.5491,0.38,-0.24,0.0147,0.4814,樣本數不足 (0/10)，熱身中,KEEP
6901.TW,做空(Short),趨勢空頭,空方進場,0.5489,0.5,0.0,0.0147,0.5294,樣本數不足 (0/10)，熱身中,KEEP
6674.TW,做空(Short),趨勢空頭,空方進場,0.5489,0.44,-0.12,0.0147,0.5053,樣本數不足 (0/10)，熱身中,KEEP
5471.TW,做空(Short),區間盤整,空方進場,0.5484,0.41,-0.18,0.0145,0.493,樣本數不足 (0/10)，熱身中,KEEP
2483.TW,做空(Short),趨勢空頭,空方進場,0.5482,0.41,-0.18,0.0144,0.4929,樣本數不足 (0/10)，熱身中,KEEP
2527.TW,做空(Short),區間盤整,空方進場,0.5481,0.41,-0.18,0.0144,0.4929,樣本數不足 (0/10)，熱身中,KEEP
2454.TW,做空(Short),趨勢空頭,空方進場,0.548,0.47,-0.06,0.0144,0.5168,樣本數不足 (0/10)，熱身中,KEEP
1314.TW,做空(Short),區間盤整,空方進場,0.548,0.44,-0.12,0.0144,0.5048,樣本數不足 (0/10)，熱身中,KEEP
