Ticker SYMBOL,產業類別,產業類別名稱,資料年月,單月營收年增率(%)
2838.TW,17,17,2026-02,10.98
2845.TW,17,17,2026-02,11.82
2849.TW,17,17,2026-02,21.23
2850.TW,17,17,2026-02,6.91
2851.TW,17,17,2026-02,103.16
2852.TW,17,17,2026-02,-7.27
2855.TW,17,17,2026-02,221.36
2867.TW,17,17,2026-02,-12.72
2880.TW,17,17,2026-02,7.93
2881.TW,17,17,2026-02,69.03
2882.TW,17,17,2026-02,-11.03
2883.TW,17,17,2026-02,25.21
2884.TW,17,17,2026-02,4.01
2885.TW,17,17,2026-02,52.07
2886.TW,17,17,2026-02,-0.73
2887.TW,17,17,2026-02,187.37
2889.TW,17,17,2026-02,16.41
2890.TW,17,17,2026-02,13.29
2891.TW,17,17,2026-02,14.16
2892.TW,17,17,2026-02,2.94
2897.TW,17,17,2026-02,7.27
2901.TW,18,18,2026-02,20.08
2903.TW,18,18,2026-02,24.8
2904.TW,20,20,2026-02,-21.7
2905.TW,18,18,2026-02,5.07
2906.TW,18,18,2026-02,0.37
2908.TW,18,18,2026-02,22.97
2910.TW,18,18,2026-02,16.99
2911.TW,18,18,2026-02,-16.11
2912.TW,18,18,2026-02,9.08
2913.TW,18,18,2026-02,2.09
2915.TW,18,18,2026-02,-26.63
2923.TW,14,14,2026-02,28.87
2929.TW,18,18,2026-02,-17.87
2939.TW,18,18,2026-02,-23.9
2945.TW,18,18,2026-02,17.16
3002.TW,25,25,2026-02,23.26
3003.TW,28,28,2026-02,-3.27
3004.TW,10,10,2026-02,19.59
3005.TW,25,25,2026-02,-0.02
3006.TW,24,24,2026-02,128.4
3008.TW,26,26,2026-02,-2.61
3010.TW,29,29,2026-02,21.97
3011.TW,28,28,2026-02,-46.42
3013.TW,25,25,2026-02,-30.83
3014.TW,24,24,2026-02,-13.96
3015.TW,28,28,2026-02,-11.63
3016.TW,24,24,2026-02,14.87
3017.TW,25,25,2026-02,74.74
3018.TW,31,31,2026-02,-70.75
3019.TW,26,26,2026-02,6.83
3021.TW,28,28,2026-02,-24.13
3022.TW,25,25,2026-02,-30.54
3023.TW,28,28,2026-02,-5.43
3024.TW,26,26,2026-02,-65.38
3025.TW,27,27,2026-02,113.07
3026.TW,28,28,2026-02,-2.3
3027.TW,27,27,2026-02,-47.76
3028.TW,29,29,2026-02,44.51
3029.TW,30,30,2026-02,-37.38
3030.TW,31,31,2026-02,24.94
3031.TW,26,26,2026-02,-17.98
3032.TW,28,28,2026-02,1.47
3033.TW,29,29,2026-02,-10.33
3034.TW,24,24,2026-02,-23.82
3035.TW,24,24,2026-02,-74.02
3036.TW,29,29,2026-02,28.98
3037.TW,28,28,2026-02,16.18
3038.TW,26,26,2026-02,-13.46
3040.TW,20,20,2026-02,22.05
3041.TW,24,24,2026-02,31.31
3042.TW,28,28,2026-02,7.31
3043.TW,31,31,2026-02,-1.06
3044.TW,28,28,2026-02,10.68
3045.TW,27,27,2026-02,-0.03
3046.TW,25,25,2026-02,-15.9
3047.TW,27,27,2026-02,-40.47
3048.TW,29,29,2026-02,10.73
3049.TW,26,26,2026-02,-74.44
3050.TW,26,26,2026-02,-12.62
3051.TW,26,26,2026-02,-34.01
3052.TW,14,14,2026-02,-11.65
3054.TW,2,2,2026-02,750.99
3055.TW,29,29,2026-02,-17.89
3056.TW,14,14,2026-02,-96.9
3057.TW,25,25,2026-02,-22.74
3058.TW,28,28,2026-02,-22.41
3059.TW,26,26,2026-02,10.87
3060.TW,25,25,2026-02,-4.07
3062.TW,27,27,2026-02,-19.93
3090.TW,28,28,2026-02,9.44
3092.TW,28,28,2026-02,-27.42
3094.TW,24,24,2026-02,-10.37
3130.TW,36,36,2026-02,-12.49
3135.TW,24,24,2026-02,104.12
3138.TW,27,27,2026-02,19.48
3149.TW,26,26,2026-02,72.58
3150.TW,24,24,2026-02,-20.5
3164.TW,22,22,2026-02,-35.48
3167.TW,5,5,2026-02,123.02
3168.TW,26,26,2026-02,-2.29
3189.TW,24,24,2026-02,10.0
3209.TW,29,29,2026-02,35.04
3229.TW,28,28,2026-02,-1.93
3231.TW,25,25,2026-02,177.37
3257.TW,24,24,2026-02,-43.53
3266.TW,14,14,2026-02,-2.52
3296.TW,28,28,2026-02,-15.03
3305.TW,31,31,2026-02,62.39
3308.TW,28,28,2026-02,-4.21
3311.TW,27,27,2026-02,-23.59
3312.TW,29,29,2026-02,-23.51
3321.TW,28,28,2026-02,-24.45
3338.TW,28,28,2026-02,-38.42
3346.TW,12,12,2026-02,-32.68
3356.TW,26,26,2026-02,11.74
3376.TW,28,28,2026-02,-21.6
3380.TW,27,27,2026-02,-9.05
3406.TW,26,26,2026-02,5.14
3413.TW,24,24,2026-02,4.17
3416.TW,25,25,2026-02,37.85
3419.TW,27,27,2026-02,-3.5
3432.TW,28,28,2026-02,477.03
3437.TW,26,26,2026-02,-32.47
3443.TW,24,24,2026-02,60.15
3447.TW,27,27,2026-02,21.02
3450.TW,24,24,2026-02,-36.61
3481.TW,26,26,2026-02,5.6
3494.TW,25,25,2026-02,17.85
3501.TW,28,28,2026-02,-31.59
3504.TW,26,26,2026-02,-18.56
3515.TW,25,25,2026-02,-29.86
3518.TW,31,31,2026-02,-34.19
3528.TW,29,29,2026-02,21.54
3530.TW,24,24,2026-02,33.12
3532.TW,24,24,2026-02,-3.74
3533.TW,28,28,2026-02,5.07
3535.TW,26,26,2026-02,4841.75
3543.TW,26,26,2026-02,-20.43
3545.TW,24,24,2026-02,-22.07
3550.TW,28,28,2026-02,-28.5
3557.TW,38,38,2026-02,-37.47
3563.TW,26,26,2026-02,4.91
3576.TW,26,26,2026-02,-55.94
3583.TW,24,24,2026-02,12.67
3588.TW,24,24,2026-02,2.27
3591.TW,26,26,2026-02,-4.1
3592.TW,24,24,2026-02,-12.82
3593.TW,28,28,2026-02,-68.48
3596.TW,27,27,2026-02,-6.6
3605.TW,28,28,2026-02,7.18
3607.TW,28,28,2026-02,-6.77
3617.TW,31,31,2026-02,0.85
3622.TW,26,26,2026-02,30.8
3645.TW,28,28,2026-02,-8.5
3652.TW,25,25,2026-02,2.35
3653.TW,28,28,2026-02,-14.57
3661.TW,24,24,2026-02,-77.08
3665.TW,31,31,2026-02,27.71
3669.TW,27,27,2026-02,28.9
3673.TW,26,26,2026-02,18.91
3679.TW,28,28,2026-02,-38.94
3686.TW,24,24,2026-02,9.38
3694.TW,27,27,2026-02,-3.67
3701.TW,25,25,2026-02,-38.44
3702.TW,29,29,2026-02,9.4
3703.TW,14,14,2026-02,-30.89
3704.TW,27,27,2026-02,-17.67
3705.TW,22,22,2026-02,-16.66
3706.TW,25,25,2026-02,25.33
3708.TW,35,35,2026-02,-73.15
3711.TW,24,24,2026-02,15.87
3712.TW,25,25,2026-02,-45.72
