Ticker,Preferred_Period,Preferred_Interval,Preferred_Provider,Target_File
1752.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1752.TW_ohlcv.csv
1760.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1760.TW_ohlcv.csv
1762.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1762.TW_ohlcv.csv
1773.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1773.TW_ohlcv.csv
1776.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1776.TW_ohlcv.csv
1783.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1783.TW_ohlcv.csv
1786.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1786.TW_ohlcv.csv
1789.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1789.TW_ohlcv.csv
1795.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1795.TW_ohlcv.csv
1802.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1802.TW_ohlcv.csv
1805.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1805.TW_ohlcv.csv
1806.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1806.TW_ohlcv.csv
1808.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1808.TW_ohlcv.csv
1809.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1809.TW_ohlcv.csv
1810.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1810.TW_ohlcv.csv
1817.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1817.TW_ohlcv.csv
1903.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1903.TW_ohlcv.csv
1904.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1904.TW_ohlcv.csv
1905.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1905.TW_ohlcv.csv
1906.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1906.TW_ohlcv.csv
1907.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1907.TW_ohlcv.csv
1909.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\1909.TW_ohlcv.csv
2002.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2002.TW_ohlcv.csv
2006.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2006.TW_ohlcv.csv
2007.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2007.TW_ohlcv.csv
2008.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2008.TW_ohlcv.csv
2009.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2009.TW_ohlcv.csv
2010.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2010.TW_ohlcv.csv
2012.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2012.TW_ohlcv.csv
2013.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2013.TW_ohlcv.csv
2014.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2014.TW_ohlcv.csv
2015.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2015.TW_ohlcv.csv
2017.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2017.TW_ohlcv.csv
2020.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2020.TW_ohlcv.csv
2022.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2022.TW_ohlcv.csv
2023.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2023.TW_ohlcv.csv
2024.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2024.TW_ohlcv.csv
2025.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2025.TW_ohlcv.csv
2027.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2027.TW_ohlcv.csv
2028.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2028.TW_ohlcv.csv
2029.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2029.TW_ohlcv.csv
2030.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2030.TW_ohlcv.csv
2031.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2031.TW_ohlcv.csv
2032.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2032.TW_ohlcv.csv
2033.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2033.TW_ohlcv.csv
2034.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2034.TW_ohlcv.csv
2038.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2038.TW_ohlcv.csv
2049.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2049.TW_ohlcv.csv
2059.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2059.TW_ohlcv.csv
2062.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2062.TW_ohlcv.csv
2069.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2069.TW_ohlcv.csv
2101.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2101.TW_ohlcv.csv
2102.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2102.TW_ohlcv.csv
2103.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2103.TW_ohlcv.csv
2104.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2104.TW_ohlcv.csv
2105.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2105.TW_ohlcv.csv
2106.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2106.TW_ohlcv.csv
2107.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2107.TW_ohlcv.csv
2108.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2108.TW_ohlcv.csv
2109.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2109.TW_ohlcv.csv
2114.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2114.TW_ohlcv.csv
2115.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2115.TW_ohlcv.csv
2201.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2201.TW_ohlcv.csv
2204.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2204.TW_ohlcv.csv
2206.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2206.TW_ohlcv.csv
2207.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2207.TW_ohlcv.csv
2208.TW,3y,1d,yfinance,C:\test\test-2026-3-22OK\data\kline_cache\2208.TW_ohlcv.csv
