Ticker SYMBOL,資料年月日,毛利率(%),營業利益率(%),單季EPS,ROE(%),稅後淨利率(%),營業現金流,預估殖利率(%),負債比率(%),本業獲利比(%)
1528.TW,2025-09-30,30.73,1.99,0.08,0.7,1.96,47224000.0,39.0,59.42,40.15
1529.TW,2025-12-31,16.87,6.87,,0.35,2.68,-49823000.0,88.0,40.76,143.19
1529.TW,2025-09-30,19.59,12.03,0.09,0.7,6.43,46500000.0,88.0,45.3,112.82
1531.TW,2025-12-31,19.51,-9.23,,0.58,6.31,123620000.0,307.0,15.91,-109.34
1531.TW,2025-09-30,18.71,-6.45,0.18,0.92,8.9,84207000.0,307.0,18.04,-72.39
1530.TW,2025-09-30,15.17,-3.53,1.3,3.82,29.16,43533000.0,576.0,43.06,-9.18
1530.TW,2025-06-30,11.62,-5.46,-0.69,-2.16,-13.61,-20515000.0,576.0,48.01,30.38
1532.TW,2025-12-31,24.21,5.31,,0.35,2.04,278247000.0,799.0,63.91,197.33
1532.TW,2025-09-30,24.55,12.9,0.95,2.13,6.65,1663365000.0,799.0,64.38,95.32
1533.TW,2025-12-31,30.46,7.66,,2.59,5.96,-194904000.0,,69.84,85.55
1533.TW,2025-09-30,26.85,3.67,0.46,1.76,4.28,45949000.0,,69.27,53.89
1535.TW,2025-12-31,12.18,5.91,,3.93,5.59,651143000.0,570.0,47.39,84.29
1535.TW,2025-06-30,8.22,3.67,0.99,3.53,3.98,514916000.0,570.0,52.37,75.9
1536.TW,2025-12-31,-3.41,-18.19,,-2.32,-15.24,206456000.0,167.0,63.33,119.59
1536.TW,2025-09-30,4.03,-6.61,-0.15,-0.5,-3.4,209477000.0,167.0,62.67,481.21
1537.TW,2025-12-31,18.72,9.92,,4.1,11.15,176794000.0,843.0,24.28,67.08
1537.TW,2025-09-30,18.95,10.72,2.06,4.1,10.56,438692000.0,843.0,27.01,75.16
1538.TW,2025-12-31,32.24,-59.15,,-28.61,-178.63,-66265000.0,,45.87,33.11
1538.TW,2025-09-30,24.88,-43.76,-0.82,-18.02,-84.0,-12147000.0,,40.66,52.12
1539.TW,2025-12-31,10.35,0.97,,1.18,7.43,-11396000.0,525.0,25.66,11.37
